CRS SUBJ CD,CRS NBR,CRS TITLE,DEPT CD,DEPT NAME,A,B,C,D,F,ADV,CR,DFR,I,NG,NR,O,PR,S,U,W,Primary Instructor,Grade Regs
ECE,540,Physics Semicond Devices,2949,Electrical & Computer Engr,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Shi, Junxia",11
ECE,541,Microelectron Fabricatn Tech,2949,Electrical & Computer Engr,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Paprotny, Igor",12
ECE,559,Neural Networks,2949,Electrical & Computer Engr,16,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ohannessian, Mesrob Ichkhan",33
ECE,568,Advanced Micro Arch,2949,Electrical & Computer Engr,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Zhang, Zhao",28
ECE,594,High Performance ICs/Systems,2949,Electrical & Computer Engr,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Partin Vaisband, Inna",14
ECE,595,Departmental Seminar,2949,Electrical & Computer Engr,0,0,0,0,0,0,0,0,0,0,0,0,0,54,3,0,"Banerjee, Aritra",57
ECE,599,PhD Thesis Research,2949,Electrical & Computer Engr,0,0,0,0,0,0,0,0,0,0,1,0,0,9,1,0,"Chen, Pai-Yen",11
ECE,599,PhD Thesis Research,2949,Electrical & Computer Engr,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,"Partin Vaisband, Inna",11
ECE,599,PhD Thesis Research,2949,Electrical & Computer Engr,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,"Shadmand, Mohammad",10
ENGR,100,BME Success Seminar - FYF,2284,Engineering Admin,0,0,0,0,0,0,0,0,1,0,0,0,0,52,1,3,"Narubin Durbin, Simona Ieva",57
ENGR,100,BME Success Seminar - Transfer,2284,Engineering Admin,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,0,"Narubin Durbin, Simona Ieva",11
ENGR,100,CHE Success Seminar - FYF,2284,Engineering Admin,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,"Narubin Durbin, Simona Ieva",10
ENGR,100,CME Success Seminar - FYF,2284,Engineering Admin,0,0,0,0,0,0,0,0,1,0,0,0,0,56,0,2,"Narubin Durbin, Simona Ieva",59
ENGR,100,CME Success Seminar - Transfer,2284,Engineering Admin,0,0,0,0,0,0,0,0,1,0,0,0,0,27,1,0,"Narubin Durbin, Simona Ieva",29
ENGR,100,CS Success Seminar - FYF,2284,Engineering Admin,0,0,0,0,0,0,0,1,8,0,0,0,0,290,6,4,"Narubin Durbin, Simona Ieva",309
ENGR,100,CS Success Seminar - Transfer,2284,Engineering Admin,0,0,0,0,0,0,0,0,8,0,0,0,0,104,3,4,"Narubin Durbin, Simona Ieva",119
ENGR,100,ECE Success Seminar - FYF,2284,Engineering Admin,0,0,0,0,0,0,0,0,4,0,0,0,0,158,4,2,"Narubin Durbin, Simona Ieva",168
ENGR,100,ECE Success Seminar - Transfer,2284,Engineering Admin,0,0,0,0,0,0,0,0,4,0,0,0,0,57,2,1,"Narubin Durbin, Simona Ieva",64
ENGR,100,Engineering Success Seminar,2284,Engineering Admin,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,1,"Sanders, Elizabeth Anne",18
ENGR,100,Engr Success Seminar - online,2284,Engineering Admin,0,0,0,0,0,0,0,0,1,0,0,0,0,127,3,6,"Narubin Durbin, Simona Ieva",137
ENGR,100,MIE Success Seminar - FYF,2284,Engineering Admin,0,0,0,0,0,0,0,0,7,0,0,0,0,131,1,0,"Narubin Durbin, Simona Ieva",139
ENGR,100,MIE Success Seminar - Transfer,2284,Engineering Admin,0,0,0,0,0,0,0,0,0,0,0,0,0,76,1,0,"Narubin Durbin, Simona Ieva",77
ENGR,111,Pract Additive Manufacturing,2284,Engineering Admin,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2,1,Grad Asst,27
ENGR,494,DuSable Trailblazing Scholar,2284,Engineering Admin,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Abiade, Jeremiah T",14
IE,118,Energy for Sustainable Society,2323,Mechanical & Industrial Engr,15,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,"Alonso, Matthew Paul",23
IE,201,Financial Engineering,2323,Mechanical & Industrial Engr,45,80,81,17,12,0,0,0,0,0,0,0,0,0,0,11,"Darabi, Houshang",246
IE,342,Probability & Stat for Engr,2323,Mechanical & Industrial Engr,17,14,18,17,13,0,0,0,0,0,0,0,0,0,0,6,"Li, Lin",85
IE,342,Probability & Stat for Engr,2323,Mechanical & Industrial Engr,49,52,47,23,16,0,0,0,0,0,0,0,0,0,0,18,"Nicolsen, Brynne E",205
IE,345,Regr Analysis & Forecast,2323,Mechanical & Industrial Engr,10,14,8,1,0,0,0,0,0,0,0,0,0,0,0,0,"Huang, Jida",33
IE,365,Work Productivity Analysis,2323,Mechanical & Industrial Engr,26,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Williams, Quintin Levurn",34
IE,396,Senior Design Project,2323,Mechanical & Industrial Engr,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Brown, Michael A",11
IE,441,Ergonomics & Human Factors,2323,Mechanical & Industrial Engr,6,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kim, Hyungil",15
IE,461,Safety Engineering,2323,Mechanical & Industrial Engr,30,11,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"Williams, Quintin Levurn",43
IE,467,Discrete Event Simulation,2323,Mechanical & Industrial Engr,6,6,5,0,0,0,0,0,0,0,0,0,0,0,0,1,"Li, Lin",18
IE,471,Operations Research I,2323,Mechanical & Industrial Engr,26,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Williams, Quintin Levurn",35
IE,473,Stochastic Processes & Queuing,2323,Mechanical & Industrial Engr,36,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"He, David Weihua",40
IE,594,AI in Advanced Manufacturing,2323,Mechanical & Industrial Engr,7,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,"Haghighi, Azadeh",15
IE,594,Data Science 1,2323,Mechanical & Industrial Engr,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"Anahideh, Hadis",13
IE,595,Industrial Engineering Seminar,2323,Mechanical & Industrial Engr,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,"Hatami Marbini, Hamed",63
ME,118,Energy for Sustainable Society,2323,Mechanical & Industrial Engr,10,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Alonso, Matthew Paul",14
ME,205,Intro to Thermodynamics,2323,Mechanical & Industrial Engr,28,26,13,4,6,0,0,0,0,0,0,0,0,0,0,2,"Manafzadeh, Saeed",79
ME,205,Intro to Thermodynamics,2323,Mechanical & Industrial Engr,13,19,14,4,0,0,0,0,2,0,0,0,0,0,0,3,"Megaridis, Constantine M",55
ME,210,Engineering Dynamics,2323,Mechanical & Industrial Engr,50,22,5,2,2,0,0,0,0,0,1,0,0,0,0,2,"Lilley, Carmen M",84
ME,211,Fluid Mechanics l,2323,Mechanical & Industrial Engr,23,32,8,1,0,0,0,0,0,0,0,0,0,0,0,1,"Jung, Eunjung",65
ME,211,Fluid Mechanics l,2323,Mechanical & Industrial Engr,14,8,14,5,0,0,0,0,0,0,0,0,0,0,0,1,"Xu, Jie",42
ME,250,Intro to Engineering Design,2323,Mechanical & Industrial Engr,77,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"Siow, Yeow",88
ME,250,Intro to Engineering Design,2323,Mechanical & Industrial Engr,71,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Szwalek, Jamison",88
ME,261,Materials for Manufacturing,2737,"Civil, Matls & Env Engineering",10,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,"Karpov, Eduard",23
ME,308,Mechanical Vibrations,2323,Mechanical & Industrial Engr,7,12,5,4,0,0,0,0,0,0,0,0,0,0,0,1,"Shabana, Ahmed",29
ME,308,Mechanical Vibrations,2323,Mechanical & Industrial Engr,38,8,5,3,0,0,0,0,0,0,0,0,0,0,0,1,"Siow, Yeow",55
ME,312,Dynamic Syst & Control,2323,Mechanical & Industrial Engr,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,"Cetin, Sabri",18
ME,312,Dynamic Syst & Control,2323,Mechanical & Industrial Engr,28,20,7,4,0,0,0,0,0,0,0,0,0,0,0,0,"Kim, Myunghee",59
ME,320,Mechanisms&Dynamics/Machinery,2323,Mechanical & Industrial Engr,50,14,7,1,1,0,0,0,0,0,0,0,0,0,0,3,"Brown, Michael A",76
ME,321,Heat Transfer,2323,Mechanical & Industrial Engr,16,22,5,2,0,0,0,0,0,0,0,0,0,0,0,1,"Jung, Eunjung",46
ME,321,Heat Transfer,2323,Mechanical & Industrial Engr,9,12,7,0,1,0,0,0,0,0,0,0,0,0,0,1,"Xu, Jie",30
ME,325,Intermediate Thermodynamics,2323,Mechanical & Industrial Engr,14,13,11,11,7,0,0,0,0,0,0,0,0,0,0,5,"Ghashami, Mohammad",61
ME,328,Numerical Methods in ME,2323,Mechanical & Industrial Engr,21,16,23,13,2,0,0,0,0,0,0,0,0,0,0,2,"Bhounsule, Pranav Audhut",77
ME,341,Exp Methods in Mech Engr,2323,Mechanical & Industrial Engr,47,10,0,1,0,0,0,0,0,0,0,0,0,0,0,1,"Szwalek, Jamison",59
ME,347,Computer-Aided Design,2323,Mechanical & Industrial Engr,11,6,4,3,2,0,0,0,0,0,0,0,0,0,0,1,"Hatami Marbini, Hamed",27
ME,370,Mechanical Engineering Design,2323,Mechanical & Industrial Engr,27,33,13,4,0,0,0,0,0,0,0,0,0,0,0,0,"Finan, John Desmond",77
ME,380,Manufacturing Process Princ,2323,Mechanical & Industrial Engr,7,14,8,5,0,0,0,0,0,0,0,0,0,0,0,0,"Abiade, Jeremiah T",34
